mean,std,experiment,significance,row,name,control,deductions
0.060 ,0.031,1,0.1,0,IV: (lagged) mechanical tax rate changes,No Control,Before
0.075 ,0.056,1,,1,IV-other,No Control,Before
0.298 ,0.053,1,0.01,2,DID-IV,No Control,Before
0.332 ,0.059,1,0.01,3,DID-classic,No Control,Before
-0.213 ,0.024,1,0.01,4,Income Control (none),No Control,Before
-0.020 ,0.005,1,0.01,5,Income Control (Gruber Saez Spline),No Control,Before
-0.017 ,0.007,1,0.05,6,Income Control (Kopczuk),No Control,Before
-0.034 ,0.017,1,0.05,7,Income Control (other),No Control,Before
0.060 ,0.063,1,,8,Difference Length (1 year),No Control,Before
-0.013 ,0.021,1,,9,Difference Length (2 years),No Control,Before
0.082 ,0.042,1,0.1,10,Difference Length (4+ years),No Control,Before
 0.061 ,0.033,2,0.1,0,IV: (lagged) mechanical tax rate changes,Control for estimation technique,Before
 0.076 ,0.053,2,,1,IV-other,Control for estimation technique,Before
 0.269 ,0.066,2,0.01,2,DID-IV,Control for estimation technique,Before
 0.304 ,0.072,2,0.01,3,DID-classic,Control for estimation technique,Before
 -0.216 ,0.023,2,0.01,4,Income Control (none),Control for estimation technique,Before
 -0.015 ,0.005,2,0.01,5,Income Control (Gruber Saez Spline),Control for estimation technique,Before
 -0.014 ,0.007,2,0.05,6,Income Control (Kopczuk),Control for estimation technique,Before
 -0.070 ,0.039,2,0.1,7,Income Control (other),Control for estimation technique,Before
 0.054 ,0.057,2,,8,Difference Length (1 year),Control for estimation technique,Before
 -0.013 ,0.021,2,,9,Difference Length (2 years),Control for estimation technique,Before
 0.085 ,0.043,2,0.1,10,Difference Length (4+ years),Control for estimation technique,Before
 0.054 ,0.029,3,0.1,0,IV: (lagged) mechanical tax rate changes,Control for estimation technique and sample restrictions,Before
 0.081 ,0.044,3,0.1,1,IV-other,Control for estimation technique and sample restrictions,Before
 0.224 ,0.105,3,0.05,2,DID-IV,Control for estimation technique and sample restrictions,Before
 0.068 ,0.132,3,,3,DID-classic,Control for estimation technique and sample restrictions,Before
 -0.212 ,0.025,3,0.01,4,Income Control (none),Control for estimation technique and sample restrictions,Before
 -0.021 ,0.007,3,0.01,5,Income Control (Gruber Saez Spline),Control for estimation technique and sample restrictions,Before
 -0.014 ,0.005,3,0.05,6,Income Control (Kopczuk),Control for estimation technique and sample restrictions,Before
 -0.029 ,0.013,3,0.05,7,Income Control (other),Control for estimation technique and sample restrictions,Before
 0.033 ,0.045,3,,8,Difference Length (1 year),Control for estimation technique and sample restrictions,Before
 -0.030 ,0.016,3,0.1,9,Difference Length (2 years),Control for estimation technique and sample restrictions,Before
 0.068 ,0.03,3,0.05,10,Difference Length (4+ years),Control for estimation technique and sample restrictions,Before
 0.025 ,0.012,4,0.05,0,IV: (lagged) mechanical tax rate changes,"Control for estimation technique, sample restrictions, estimation decade",Before
 0.074 ,0.054,4,,1,IV-other,"Control for estimation technique, sample restrictions, estimation decade",Before
 0.257 ,0.056,4,0.01,2,DID-IV,"Control for estimation technique, sample restrictions, estimation decade",Before
 0.187 ,0.063,4,0.01,3,DID-classic,"Control for estimation technique, sample restrictions, estimation decade",Before
 -0.209 ,0.028,4,0.01,4,Income Control (none),"Control for estimation technique, sample restrictions, estimation decade",Before
 -0.013 ,0.007,4,0.1,5,Income Control (Gruber Saez Spline),"Control for estimation technique, sample restrictions, estimation decade",Before
 -0.015 ,0.007,4,0.05,6,Income Control (Kopczuk),"Control for estimation technique, sample restrictions, estimation decade",Before
 -0.020 ,0.012,4,0.1,7,Income Control (other),"Control for estimation technique, sample restrictions, estimation decade",Before
 0.034 ,0.05,4,,8,Difference Length (1 year),"Control for estimation technique, sample restrictions, estimation decade",Before
 -0.035 ,0.011,4,0.01,9,Difference Length (2 years),"Control for estimation technique, sample restrictions, estimation decade",Before
 0.009 ,0.019,4,,10,Difference Length (4+ years),"Control for estimation technique, sample restrictions, estimation decade",Before
 0.025 ,0.015,5,0.1,0,IV: (lagged) mechanical tax rate changes,"Control for estimation technique, sample restrictions, publication decade",Before
 0.107 ,0.056,5,0.1,1,IV-other,"Control for estimation technique, sample restrictions, publication decade",Before
 0.313 ,0.075,5,0.01,2,DID-IV,"Control for estimation technique, sample restrictions, publication decade",Before
 0.149 ,0.065,5,0.05,3,DID-classic,"Control for estimation technique, sample restrictions, publication decade",Before
 -0.207 ,0.029,5,0.01,4,Income Control (none),"Control for estimation technique, sample restrictions, publication decade",Before
 -0.016 ,0.005,5,0.01,5,Income Control (Gruber Saez Spline),"Control for estimation technique, sample restrictions, publication decade",Before
 -0.010 ,0.005,5,0.05,6,Income Control (Kopczuk),"Control for estimation technique, sample restrictions, publication decade",Before
 -0.009 ,0.009,5,,7,Income Control (other),"Control for estimation technique, sample restrictions, publication decade",Before
 0.012 ,0.04,5,,8,Difference Length (1 year),"Control for estimation technique, sample restrictions, publication decade",Before
 -0.035 ,0.008,5,0.01,9,Difference Length (2 years),"Control for estimation technique, sample restrictions, publication decade",Before
 0.026 ,0.021,5,,10,Difference Length (4+ years),"Control for estimation technique, sample restrictions, publication decade",Before
