Experiment-1, Experiment-2, Experiment-3,  Experiment-4, Experiment-5, Experiment-6
0.060^* , 0.061^* , 0.054^* , 0.025^{* *} , 0.025^* , 0.026 
(0.031) , (0.033) , (0.029) , (0.012) , (0.015) , (0.017) 
0.075 , 0.076 , 0.081^* , 0.074 , 0.107^* , 0.094 
(0.056) , (0.053) , (0.044) , (0.054) , (0.056) , (0.062) 
0.298^{* * *} , 0.269^{* * *} , 0.224^{* *} , 0.257^{* * *} , 0.313^{* * *} , 0.247^{* * *} 
(0.053) , (0.066) , (0.105) , (0.056) , (0.075) , (0.074) 
0.332^{* * *} , 0.304^{* * *} , 0.068 , 0.187^{* * *} , 0.149^{* *} , 0.091 
(0.059) , (0.072) , (0.132) , (0.063) , (0.065) , (0.068) 
-0.213^{* * *} , -0.216^{* * *} , -0.212^{* * *} , -0.209^{* * *} , -0.207^{* * *} , -0.209^{* * *} 
(0.024) , (0.023) , (0.025) , (0.028) , (0.029) , (0.028) 
-0.020^{* * *} , -0.015^{* * *} , -0.021^{* * *} , -0.013^* , -0.016^{* * *} , -0.013^* 
(0.005) , (0.005) , (0.007) , (0.007) , (0.005) , (0.007) 
-0.017^{* *} , -0.014^{* *} , -0.014^{* *} , -0.015^{* *} , -0.010^{* *} , -0.012^* 
(0.007) , (0.007) , (0.005) , (0.007) , (0.005) , (0.006) 
-0.034^{* *} , -0.070^* , -0.029^{* *} , -0.020^* , -0.009 , -0.033^* 
(0.017) , (0.039) , (0.013) , (0.012) , (0.009) , (0.019) 
0.060 , 0.054 , 0.033 , 0.034 , 0.012 , 0.003 
(0.063) , (0.057) , (0.045) , (0.050) , (0.040) , (0.032) 
-0.013 , -0.013 , -0.030^* , -0.035^{* * *} , -0.035^{* * *} , -0.041^{* *} 
(0.021) , (0.021) , (0.016) , (0.011) , (0.008) , (0.016) 
0.082^* , 0.085^* , 0.068^{* *} , 0.009 , 0.026 , 0.027 
(0.042) , (0.043) , (0.030) , (0.019) , (0.021) , (0.022)
